,label,text
120282,5,实惠活动买的
392946,4,可以
452068,3,此用户未填写评价内容
233314,5,真的是太棒了，使用特别流畅，全新的，Windos10真的是很赞了。这款电脑是性价比很高了，用来办公都比较不错了，玩游戏也不会卡。而且颜值超高的哦，物流也非常快，从北京到湖南两天就收到了，客服也很认真负责呢，有什么不懂的都细心为我解答了。总之，这个配置这个价很不错了。还有指纹解锁呢。
254121,5,运行流畅，音质不错，就是没想到电源适配器这么笨重
279,5,京东上买的东西我都是比较信得过的。
10022,4,服务很热情
8903,5,挺好的，除了一开始游戏打不开，后来卖家细心解释了，性能很好
54755,4,选了好久，不知道选哪个好，最后选定了了这一款，感觉还可以！也是第一次用戴尔笔记本电脑
30516,5,电脑用着非常的不错，机械加固态反应快，京东物流很快，
30728,5,东西还行，用后才知道
313789,4,性能不错，放在恶劣环境，运行良好。
277956,5,单位每年固定的更新电脑
368075,3,包装破了一个大洞，差评！
110907,4,质量一般，橡胶有点异味，不过，是赠品将就了
396785,5,收货有一段时间了，刚刚安装机子性能很好，店家服务很好！
184715,5,很好用。 很方便。 性价比高，值得购买。
502337,2,给公司买了10几个本了，数这个包装最简易，刚才同事着急带出去出差才发现，能有三个选择，一个捧着箱子走，一个是光手拿着走，一个是直接扔我这，看来他选择了第三条路，说实话一个普通的袋子能多少钱？体验好差，真不如我的联想的，给产品一个星，给送货一个星
505285,5,顺丰快递隔日到，机器给软件部门用，不错
418290,1,很坑，电脑上没有office这些正版软件，询问客服也一直跟我岔开话题。服了，要不是给公司买的就退货了，真是垃圾，再也不会买戴尔！！！
199883,5,老客户购买 不过多评价，五星好评
318680,1,没有磁盘驱动器，主机吱吱响，?????，说多都是泪
490079,5,机器性能很好，价格实惠，比较满意
306770,1,电脑开机有异响
445172,1,非常不满意的一次购物，给商家一个大大的差评！七天无条件退货是假的！差！差！差！
134391,5,第一次购买服务器了，客服小陈(萱萱）服务态度特别好，人非常热情！有问必答，机器非常好，可以说是物美价廉，售后三年****，有问题可以随时找小陈解决！
45307,5,东西不错，快递也给力，好评
137756,5,已试用，没留下照片。再用些时日，来评。第一印象，不错。
253130,4,质量一般，橡胶有点异味，不过，是赠品将就了
147144,5,给客户配的，听工程师说用上了，一直担心怕不支持WIN732位，现在终于放心了
391935,5,包装很好，无压箱，物流很快预装系统可选，选了10客服态度好机器质量如预期，跑3D无压力，是理想的服务器
305881,3,买来办公用的，结果发的那个转化器是坏的，又发了一个，结果这个新的也不好用，不是特别满意
193623,5,东西到了，不错，很满意，给个好评！
304231,5,已经收到，目前看着还不错。
14983,4,就那样吧，感觉旧旧的
126711,5,服务器顺利到货，安装调试一切正常，客服态度非常友好，以后还会合作！
176225,5,到货非常快，而且包装非常细心，还用保鲜膜包裹，我也是第一次遇见，也是醉啦，包装盒设计的也是非常有意思，这样的包装确实是能让产品安全抵达用户手中，后期装机和调适技术不太会，和鑫智客服沟通后，客服请公司技术电话指导，给我省去了一笔请技术的费用。这个产品和一般产品有很大的区别，购买只是一个开始，从调适机器才能真正的和卖家建立合作，所以，除了正规产品以外商家的服务才是重要的环节，相信后续能和鑫智建立更多的合作。
409782,5,戴尔迷你小主机很小，很巧，很棒，感觉使用很方便，自带win10系统。
333345,4,还不错！
80309,5,宝贝很好哦，值得购买，快递速度很快
432731,5,不错，运转顺利
529631,5,服务器很实在，同学用来处理r语言的图片，完全满足要求！速度很流畅
18350,1,建议大家千万不要在这里买，东西赖不说，而且服务一点不到位。并且买家想换货也不给不说，总是@，东西不好，服务不到位，还让我给好评。卖家有错误还死不承认，总是把责任网顾客，物流身上推卸。总体感觉就俩字，垃圾
169254,1,**玩意儿，买时没注意买回来显卡不够用，退货当时答应的很好，寄过去邮费花了8.9十块现在给我找各种理由退不了，还说要退就多给五百，那个纸箱收到货就是有一点破损，然后我就没在意这些，然后就因为这个要我五百块钱，杜绝**商家！！！！！
129197,1,有史以来最差的京东购物体验，周一下单，周五晚上才送到。既然隔天送货做不到，就不要写预计第二天送达这样的混账话，第二天弄个机器人做个客服，人工服务一个没有，让人抓狂。本来为了快捷特地选了京东自营，不成想慢的像龟。一句话，真让老客户心寒。刘先生可能最近有点烦心事，也请百忙中抽点时间关心一下各种自家企业的各种服务细节，建口碑不容易，摔个杯子就一下子而已。
311465,4,服务很热情
245501,5,很好，很简单就安装成功了
407883,1,卡得要死，而且屏幕的光也很奇怪，像蒙了一层雾，我才买第二天就这么卡，气愤。
